,Date,Transaction_Desciption,Debit,Credit,CardName,Transaction
0,12-03-2018,Amazon Cash Back Jan 18            ,213,,Rahul,Domestic
1,16-03-2018,SUBWAY GURGAON                     ,,230,Rahul,Domestic
2,18-03-2018,NIMITAYA HOTEL & RESOR GURGAON     ,,3415,Rahul,Domestic
3,18-03-2018,BIRYANI PARADISE GURGAON           ,,335,Rahul,Domestic
4,19-03-2018,AIRTEL PAYMENT MUMBAI              ,880,,Rahul,Domestic
5,19-03-2018,AIRTEL PAYMENT,MUMBAI              ,1297,Rahul,Domestic
6,19-03-2018,AMAZON SELLER SERVICES MUMBAI      ,41499,,Raj,Domestic
7,19-03-2018,ICICI PRUDENTIAL LIFE MUMBAI       ,35935,,Raj,Domestic
8,20-03-2018,CARNIVAL CINEMAS NEEMU GURGAON     ,110,,Raj,Domestic
9,23-03-2018,BIRYANI PARADISE GURGAON           ,219,,Raj,Domestic
10,25-03-2018,SRS CINEMAS GURGAON                ,,155,Raj,Domestic
11,25-03-2018,SRS CINEMAS GURGAON                ,,1440,Raj,Domestic
12,25-03-2018,NIMITAYA HOTEL & RESOR GURGAON     ,3414,,Raj,Domestic
13,26-03-2018,KABI BESPOKE BOUTIQUE GURGAON      ,,270,Raj,Domestic
14,27-03-2018,PAYTM NOIDA                        ,2941,,Raj,Domestic
15,27-03-2018,AMAZON SELLER SERVICES MUMBAI      ,416,,Raj,Domestic
16,28-03-2018,www.vodafone.in MUMBAI             ,500,0,Raj,Domestic
17,30-01-2017,SRILANKANUPGRADE KATUNAYAKE         EUR,6,,Raj,International
18,14-01-2018,HEALTHGUARD LIMITED KATUNAYAKE      USD,,15,Raj,International
19,19-01-2018,FOOT RUB BERLIN                  EUR,26,,Raj,International
20,20-01-2018,California Games CALIFORNIA         USD,107,,Raj,International
21,30-01-2018,NewYorkShop NEWYORK                 USD,210,,Raj,International
22,08-02-2018,EURO WINGS DUSSELDOR                EUR,15,,Raj,International
